index_,tree_name,r_glcm_mean,r_mean_homogeneity,r_mean_contrast,r_mean_dissimilarity,r_mean_ASM,r_mean_correlation,r_mean_energy,g_glcm_mean,g_mean_homogeneity,g_mean_contrast,g_mean_dissimilarity,g_mean_ASM,g_mean_correlation,g_mean_energy,b_glcm_mean,b_mean_homogeneity,b_mean_contrast,b_mean_dissimilarity,b_mean_ASM,b_mean_correlation,b_mean_energy,RE_glcm_mean,RE_mean_homogeneity,RE_mean_contrast,RE_mean_dissimilarity,RE_mean_ASM,RE_mean_correlation,RE_mean_energy,NIR_glcm_mean,NIR_mean_homogeneity,NIR_mean_contrast,NIR_mean_dissimilarity,NIR_mean_ASM,NIR_mean_correlation,NIR_mean_energy,id_based_on_tree_name
13,Alstonia Angulstiloba,121.0788423376974,0.1939487019972268,120.12926639244614,7.136580104145469,0.0011678866028252,0.9024132701581844,0.0341049604665477,126.26579529375066,0.2084537535896883,112.10280147971352,6.793494767493803,0.0022486586240143,0.8774172561921301,0.0473251647347535,47.98788291888481,0.135917857896192,134.31502364184234,8.282365252457216,0.0004126709590071,0.869195140153564,0.0202660005185615,65.43308327730458,0.1476533029049453,85.25562780344266,6.857299791070872,0.000404883022401,0.9392204245207512,0.0200548829069121,74.06863646626402,0.1718004373810984,63.12511852067952,5.8406709465147655,0.0005762132102875,0.936893468171108,0.023943394499671,0
14,Spathodea Campanulatum,102.45250850168088,0.1128430181274651,231.66351543547347,10.745884521552831,0.0002684187073526,0.8715546155717531,0.0163396616641013,112.86215762076677,0.13130792100202,221.7479603413805,10.377384558917132,0.000639686245137,0.8593865117529013,0.0251923297050437,66.91204335704728,0.1103425270780149,215.98275247865035,10.542029560727345,0.0002780084685323,0.8536353842401301,0.0166322565439472,62.08663331794982,0.1152631848225575,171.50263788514985,9.51321240725849,0.0002559877887002,0.9056772236573593,0.0159575641497747,82.26518648894837,0.1496076528491763,110.98296956103512,7.378765857888871,0.0004016707194039,0.9275894186138044,0.0199856222465555,15
15,Clausena Excavata,92.303824193751,0.124891201475794,216.4902104756179,10.094869414047537,0.0002496998347214,0.9224913786049403,0.0157646071972082,103.20481933706914,0.1302490734318026,219.2748304211957,10.071956593665586,0.0002803217564464,0.9241898495016878,0.0167021567675515,44.87027628982139,0.1199401004631476,184.782178759573,9.675939315729812,0.0002786428551393,0.8877908488592567,0.016654447406141,49.92469317821769,0.1777049567102094,68.76433674710937,5.98112179052575,0.0003829407486175,0.9631951509947716,0.0195141569351073,67.77071952704597,0.2022120808767039,53.70611615001651,5.15278032997332,0.0004778015694963,0.9718797614600018,0.0217961541029138,6
16,Syzygium Polyanthum,88.87232322175878,0.1118030644553334,294.84430330140464,11.782176554215074,0.0001718138575611,0.9347626545480736,0.0130855637261094,97.44870796547104,0.1228028175403019,287.591734246127,11.526937367932929,0.0003611747777308,0.9355254018297527,0.018958241439211,50.75664821029708,0.0991100963817375,264.24765601793285,11.603761395328142,0.0002193076658209,0.8633460516687376,0.0147814177358255,48.33082337508304,0.1644573294238795,95.3797727128408,6.934950379967037,0.000307635622955,0.9649609633994178,0.0174972255389523,74.10293602142784,0.1861380672337227,73.06185908200567,5.838726672651823,0.0003845980724268,0.973462883940138,0.0195625439545849,17
17,Sandoricum Koetjape,87.93950878963236,0.126162727669197,303.3800968891833,11.536969302425335,0.000216948951867,0.9519890889519892,0.0146881803468467,96.78017522174092,0.13208502649293,285.0492598789134,11.216513178100112,0.0002983848451285,0.9454447139927338,0.0172239153932683,41.57409751284406,0.1078492323203045,242.57711706597823,11.11916512077338,0.0001709753226506,0.9122730253363244,0.0130422404131708,44.32773941136499,0.1901774845865422,100.6694425425898,6.571901824992113,0.0003188145956252,0.9684167713731416,0.0178008320769996,64.7514456793812,0.2138987206179707,70.35458432850388,5.315947402499221,0.0003662317122461,0.9786357916116925,0.0190779554409529,13
18,Sterculia Parviflora,96.65544424336215,0.110031836311962,197.58931807515543,10.2533060952538,0.0002534941302622,0.903340621255276,0.0158886205781966,106.94097172820284,0.1163591971943229,191.62961314569813,10.071565025757398,0.0003057505478261,0.8992521734058473,0.0174416420710069,50.9205317811933,0.1091490356861934,181.6107354325652,9.985146823536317,0.0002782657783041,0.8664519800541892,0.016646283554234,47.78929982963884,0.1614226085305628,82.09797490830739,6.663292850555253,0.0003959780035745,0.9445954797215604,0.0198473237498057,68.48215582702923,0.1848418148950599,64.28399978960908,5.718079783843538,0.0004388751499393,0.9649101886968656,0.0208914873734989,16
19,Alstonia Angulstiloba,109.26023654306566,0.152988463722955,134.29261904999657,8.041602155370379,0.0004069240486447,0.8944789794658667,0.0201276554117192,121.65827333228935,0.1815246669130035,120.85642116824692,7.533690883537553,0.0011319649881662,0.8723676661432371,0.0335564092948512,66.12223185935112,0.1287574129943039,137.10343163365127,8.543431419139443,0.0003110182651593,0.9043878437679352,0.0175947126862649,63.03819759794034,0.1354020124815262,106.97303055876716,7.665330517179838,0.0003795963646242,0.9013827514699893,0.0194388934627972,79.70638185842634,0.1752653383903729,58.49733756230034,5.662638264569446,0.0006350363806072,0.9185910042942216,0.0251377675331438,0
20,Claoxylon Indicum,89.8316126355206,0.0973275607612481,287.7624443623576,12.21710728442893,0.0001990242103583,0.9015445566358532,0.0140820689366886,101.0940735917348,0.1032942154849599,284.8472866292814,12.097266669599115,0.000247785990228,0.9006874903675154,0.0157022167480664,54.69832208606092,0.0925272940601678,282.04583130969354,12.250707262600168,0.0001957375918535,0.8795435734144338,0.0139644190744604,36.62659281487949,0.1873272712204093,61.613543571573054,5.71441938762154,0.0005637996029701,0.939704464669482,0.0236800174122678,54.57805745437388,0.1994343069069037,52.21724961489211,5.175533390298364,0.000607849608171,0.9573344369610608,0.0245793721947795,5
21,Bridelia Sp.,88.05796241370177,0.1155727372117024,227.18050538941895,10.54327846325413,0.0002331929038846,0.8881176251285289,0.0152375865908349,95.72283769690586,0.1168083874396926,226.67364561828472,10.522055117987245,0.0002354122486819,0.8851936523485033,0.0153091830318708,54.32187493892405,0.1179161233999058,199.39537168481047,10.053698883480156,0.0003105399791417,0.8440505626253609,0.0175864745105141,33.75967849824575,0.245182268445789,33.030846589028904,4.070764382164565,0.0010788182092357,0.9357445311163862,0.0327572052540363,53.66702280659816,0.2716688901170868,24.62502379658837,3.524893502731258,0.0010869525003403,0.959945371376558,0.032878841697739,1
22,Pometia Pinnata,97.99846450336402,0.1198564204662284,195.03047589348225,10.091876505358345,0.0002759643365332,0.9153729409345016,0.0165822942845741,112.38684489231308,0.1515646302266119,188.4580834820973,9.728855525893508,0.0017767390446178,0.8968075607155699,0.0420612424421019,30.81369043648,0.1099319925258738,183.0971525984832,10.109237549783964,0.0003270620222766,0.8804782496169774,0.0180581020438657,46.63778846186712,0.1720084563891805,64.23249463799807,5.977880663264305,0.0005521391940175,0.9388236066268436,0.0234441703166894,65.83909943595206,0.2172398636544461,35.8029747121624,4.4096609587519175,0.0008510994020923,0.957505848839878,0.0290944083991814,12
23,Sterculia Parviflora,80.20689068224475,0.1022338735972653,263.49443330468137,11.66075057039865,0.000220985269758,0.8992233814411346,0.0148394355122043,89.04188234876253,0.1033368798362003,263.8999909283383,11.687168141792476,0.000229805843549,0.9024588296129376,0.0151312748464069,40.82373278936856,0.103127533297305,232.7358803359205,11.145313615329757,0.0002378573116596,0.888054734976661,0.0153927878089968,31.99679597974416,0.2081685806270466,41.47965462145914,4.789664377665466,0.0007667611914643,0.9423845882824068,0.0276219654700132,46.92914607538712,0.2276068497301351,33.74780708093896,4.28153492966463,0.0008242063441009,0.9582736839032526,0.02862895324899,16
