index,tree_name,dec_NIR_raw_mean,dec_NIR_glcm_mean,dec_NIR_mean_homogeneity,dec_NIR_mean_contrast,dec_NIR_mean_dissimilarity,dec_NIR_mean_ASM,dec_NIR_mean_correlation,dec_NIR_mean_energy
17,Sandoricum Koetjape,122.42402384500745,14.2698974609375,0.2138987206179713,70.35458432850388,5.315947402499207,0.0003662317122461584,0.9786357916116912,0.019077955440952962
18,Sterculia Parviflora,130.77617131022626,3.09466552734375,0.1848418148950579,64.2839997896081,5.718079783843464,0.0004388751499393842,0.9649101886968626,0.020891487373498684
19,Alstonia Angulstiloba,152.5127506538797,6.677734375,0.17526533839037287,58.49733756230032,5.6626382645694395,0.0006350363806072771,0.9185910042942218,0.02513776753314385
20,Claoxylon Indicum,103.98627260981912,2.24200439453125,0.19943430690690744,52.217249614893475,5.175533390298469,0.0006078496081710393,0.9573344369610597,0.02457937219477997
21,Bridelia Sp.,98.32672476397967,5.004974365234375,0.27166889011708767,24.62502379658848,3.5248935027312642,0.0010869525003403611,0.959945371376558,0.032878841697739115
22,Pometia Pinnata,123.57153712548849,1.10699462890625,0.21723986365444814,35.802974712162865,4.4096609587519655,0.0008510994020923926,0.957505848839878,0.029094408399181718
23,Sterculia Parviflora,88.06631564916023,1.809173583984375,0.22760684973013606,33.74780708093908,4.2815349296646446,0.0008242063441009904,0.9582736839032523,0.028628953248990136
24,Calophyllum,111.02880741337631,0.593109130859375,0.2295530123206339,31.887440170387656,4.197231739335833,0.001027217468775677,0.9617017431506327,0.031986521371608484
25,Pennisetum Purpureum,58.26065836634597,7.718780517578125,0.2652719622375905,20.159218033865884,3.3970313254119846,0.0012821784486720619,0.9582186659866545,0.03569001236118925
26,Sterculia Parviflora,95.24405714285714,2.112030029296875,0.24860616111911008,44.82084483473129,4.551315916851757,0.0008912127749874676,0.9749422491529376,0.029768731425231343
27,Campnosperma Auriculatum,148.2562619047619,10.2003173828125,0.15397044910508478,151.94901454003556,8.197284537010873,0.0003843404060750099,0.8929652568947932,0.01954767089756472
28,Leea Indica,108.84141694652544,3.7479248046875,0.21955786804940872,51.712483821603485,4.84512935502471,0.0006468303284046128,0.9554556095824039,0.025360461571856837
29,Dillenia Suffruticosa,118.43716986377537,0.862213134765625,0.16979438066335353,76.4236669654676,6.398564177214852,0.0005121989823281675,0.9436663785468818,0.02256545957655559
30,Sterculia Parviflora,142.2200704225352,2.194091796875,0.2001655804352522,79.97758175591026,5.793578844152414,0.0007164478744738647,0.9506952244409811,0.026688027238144625
31,Ficus Variegata,165.86981578947368,9.22430419921875,0.16156514067756528,92.68044626426764,6.676212501718414,0.00037714768127441566,0.9580020054617132,0.019363102363276576
32,Spathodea Campanulatum,143.88573511842011,13.832672119140625,0.16052375497193125,122.32847413179412,7.375533457256196,0.00030653525976953475,0.942842182120534,0.017460579487452905
