index,tree_name,Blue_HOMOGENEITY_median,Wideband_Red_MEAN_I_median,Wideband_Green_MEAN_I_median,Wideband_Red_MEAN_I_75th,Red_MEAN_I_75th,Red_MEAN_I_median,Wideband_Green_MEAN_I_75th,Wideband_Red_MEAN_I_25th,NIR_HOMOGENEITY_75th,Wideband_Blue_NONE_75th,RedEdge_MEAN_I_median,r_raw_mean,g_raw_mean,b_raw_mean,r_glcm_mean,g_glcm_mean,b_glcm_mean,id_based_on_tree_name
10,Cinnamomum Iners,0.0716552734375,0.7541571661340366,0.0720849329879463,0.2554952527532556,0.08270263671875,0.278564453125,0.6134292182253728,0.2546296131629865,0.05682373046875,0.0753826884093075,0.611328125,179.82351232905646,191.1951924600032,65.22352024922118,9.196624755859377,9.196624755859377,9.196624755859377,4
11,Clausena Excavata,0.091064453125,0.6751993910845588,0.0963983531278722,0.2178817210477941,0.112060546875,0.230712890625,0.734298828125,0.2194738051470588,0.0740966796875,0.0918592816521139,0.7314453125,140.14633003643937,166.7846954711088,56.16808953669963,2.319122314453125,2.319122314453125,2.319122314453125,6
12,Cinnamomum Iners,0.08355712890625,0.8044853259671119,0.0781077426479708,0.3364525185861895,0.093017578125,0.370849609375,0.5885890689972908,0.3354971805695564,0.06646728515625,0.0846809928647933,0.59326171875,184.5327854008497,202.5000626871909,85.52607090617818,8.713623046875,8.713623046875,8.713623046875,4
13,Cratoxylum Formosum,0.07666015625,0.8627115898204254,0.0701709461991401,0.3093475840512796,0.08416748046875,0.353271484375,0.5597185749890743,0.3088855525219987,0.060943603515625,0.0790236589070913,0.55810546875,207.4557985265197,218.91369867034547,78.49254160673927,20.702392578125,20.702392578125,20.702392578125,7
14,Alstonia Angulstiloba,0.08642578125,0.870138618396757,0.071872082862963,0.3163918480225269,0.0867919921875,0.3369140625,0.5693910327244608,0.3159490072507144,0.06591796875,0.0900157763616011,0.56982421875,207.03063242436065,223.23868268467567,81.54359436589402,9.02392578125,9.02392578125,9.02392578125,0
15,Spathodea Campanulatum,0.073638916015625,0.8370383892514661,0.0701920910286334,0.4713672010588709,0.08135986328125,0.51708984375,0.4600153576473975,0.4728923767251741,0.059661865234375,0.0754259995503514,0.4619140625,202.0151967009604,212.25031035516045,118.83283628943651,8.50634765625,8.50634765625,8.50634765625,16
16,Clausena Excavata,0.06317138671875,0.7120175273244971,0.0743288963691452,0.2075839376291201,0.0899658203125,0.2220458984375,0.6943757839809848,0.2085256532599378,0.0482177734375,0.0667884200891216,0.69775390625,154.04896780102868,179.0331501444374,53.95286408793067,6.886566162109375,6.886566162109375,6.886566162109375,6
17,Syzygium Polyanthum,0.08245849609375,0.809838036445999,0.0782197269733062,0.3448480089956219,0.09149169921875,0.36474609375,0.6252293972456142,0.3470342589274585,0.06842041015625,0.0843167096380133,0.62744140625,184.84238137142083,202.48145265010493,85.45803154403303,3.575164794921875,3.575164794921875,3.575164794921875,18
18,Sandoricum Koetjape,0.07000732421875,0.7629361001118524,0.0684357397132342,0.2987532341617277,0.08056640625,0.33251953125,0.5795263479979478,0.2963879567856237,0.0537109375,0.0736350707503248,0.5830078125,178.57442058107543,193.46314621955256,75.9002924102963,8.42547607421875,8.42547607421875,8.42547607421875,14
19,Sterculia Parviflora,0.08013916015625,0.8183239728715426,0.0771322981574706,0.2589272325883097,0.089599609375,0.276611328125,0.6490485591085456,0.2595725766473459,0.0672607421875,0.0826178048959902,0.653076171875,185.6668122779428,206.11742093307703,67.33275088822879,4.157745361328125,4.157745361328125,4.157745361328125,17
