index,tree_name,Blue_HOMOGENEITY_median,Wideband_Red_MEAN_I_median,Wideband_Green_MEAN_I_median,Wideband_Red_MEAN_I_75th,Red_MEAN_I_75th,Red_MEAN_I_median,Wideband_Green_MEAN_I_75th,Wideband_Red_MEAN_I_25th,NIR_HOMOGENEITY_75th,Wideband_Blue_NONE_75th,RedEdge_MEAN_I_median,r_raw_mean,g_raw_mean,b_raw_mean,r_glcm_mean,g_glcm_mean,b_glcm_mean,id_based_on_tree_name
23,Sterculia Parviflora,0.10308837890625,0.7056432593115006,0.1060352033174173,0.3113844717128685,0.12451171875,0.35498046875,0.686645751790473,0.3185591116339107,0.0833740234375,0.1047329886764943,0.67041015625,160.42968541722206,177.25759797387363,84.35417222074113,1.809173583984375,1.809173583984375,1.809173583984375,16
24,Calophyllum,0.1181640625,0.8549463497185559,0.1194495917847437,0.438060310316382,0.129913330078125,0.449462890625,0.6534871166537267,0.4353103163819876,0.1028594970703125,0.1159966036399699,0.65185546875,192.47723609991945,208.7139403706688,106.44157937147462,0.593109130859375,0.593109130859375,0.593109130859375,2
25,Pennisetum Purpureum,0.143798828125,0.66117202026886,0.1770425961935271,0.3797297214705642,0.212890625,0.423583984375,0.7552147871932068,0.3739498680584746,0.1142578125,0.1444970094797395,0.74853515625,147.09157077281017,164.54544739986167,95.03063887316858,7.718780517578125,7.718780517578125,7.718780517578125,11
26,Sterculia Parviflora,0.07794189453125,0.8532340923108552,0.0815806060088308,0.3459846255653783,0.09625244140625,0.381103515625,0.537682173879523,0.3497507195723684,0.060089111328125,0.0794435325421785,0.5283203125,196.9868,207.0732,85.50537142857142,2.112030029296875,2.112030029296875,2.112030029296875,16
27,Campnosperma Auriculatum,0.07342529296875,0.8335698413665033,0.0770849312154098,0.6641893319857409,0.08856201171875,0.6953125,0.4645586757645524,0.661316043814433,0.061004638671875,0.0761546502558166,0.466064453125,203.47341666666668,212.4752976190476,169.54317857142857,10.2003173828125,10.2003173828125,10.2003173828125,3
28,Leea Indica,0.1007080078125,0.8462344452818232,0.0854752864814172,0.3201635016762329,0.10076904296875,0.34375,0.5200332528030314,0.3155534819492469,0.08013916015625,0.1031385460988666,0.5224609375,204.47316584861792,213.76856755360373,84.59309609919917,3.7479248046875,3.7479248046875,3.7479248046875,10
29,Dillenia Suffruticosa,0.063995361328125,0.7285752069382441,0.0628849892389206,0.3078106471470424,0.0715484619140625,0.322265625,0.5443249657040551,0.3054286411830357,0.052703857421875,0.0644243785313197,0.556884765625,160.38351403947735,182.66430358632192,78.11773700305811,0.862213134765625,0.862213134765625,0.862213134765625,7
30,Sterculia Parviflora,0.11041259765625,0.8703170243797355,0.0889069786161802,0.4610772645187709,0.10400390625,0.487060546875,0.5403179244038008,0.4657209702210905,0.084625244140625,0.1083092330005831,0.552734375,199.25555677816905,217.19349691901408,113.57680457746478,2.194091796875,2.194091796875,2.194091796875,16
31,Ficus Variegata,0.08074951171875,0.8517946463499038,0.0589500187013834,0.4620137640301516,0.06817626953125,0.513671875,0.4711638631439576,0.4614524404188734,0.065673828125,0.0815560288628994,0.4736328125,192.97752631578948,212.79951315789475,115.65472368421052,9.22430419921875,9.22430419921875,9.22430419921875,9
32,Spathodea Campanulatum,0.06243896484375,0.8383125207632487,0.0638369905393165,0.5692503005957373,0.0745849609375,0.60986328125,0.4967038543809673,0.5688576929699088,0.049163818359375,0.0650961489402471,0.49462890625,197.87880385128963,212.83856033452807,143.49212875114205,13.832672119140623,13.832672119140623,13.832672119140623,15
